id,Departamento,Creditos,Monto,Socias
1,Boaco,3320,31386000,2702
2,Carazo,7914,66653500,6126
3,Chinandega,10348,95399000,7033
4,Chontales,4346,37505500,3491
5,Esteli,6378,62217000,4609
6,Granada,3780,34365000,2714
7,Jinotega,4405,37818500,3731
8,Leon,8853,76364000,6680
9,Madriz,4218,34416500,3545
10,Managua,26349,228235500,19872
11,Masaya,12016,108040000,8560
12,Matagalpa,9770,82347000,7457
13,Nueva Segovia,4213,34325000,3509
14,Region Autonoma de la Costa Caribe Norte,774,6705500,567
15,Region Autonoma de la Costa Caribe Sur,4699,47420500,3423
16,Rio San Juan,865,7989500,758
17,Rivas,7613,68806000,5820
