id,Departamento,Creditos,Monto,Socias
1,Boaco,4530,53453000,3681
2,Carazo,8785,98843500,7133
3,Chinandega,15192,160900000,10903
4,Chontales,5415,59834000,4380
5,Esteli,6117,77884500,4956
6,Granada,5036,54816500,4000
7,Jinotega,5597,56271000,4955
8,Leon,11586,125121500,9570
9,Madriz,5003,51776500,4391
10,Managua,30225,320166000,23649
11,Masaya,11691,116202000,9190
12,Matagalpa,12289,132659500,9797
13,Nueva Segovia,6964,81490000,5578
14,Region Autonoma de la Costa Caribe Norte,1399,13878500,1148
15,Region Autonoma de la Costa Caribe Sur,5522,65570500,4568
16,Rio San Juan,1663,18983000,1343
17,Rivas,9321,96820000,7558
